(2020, 10, 25, 8, 6, 42, 6, 299) except line 114
(2000, 1, 1, 0, 0, 39, 5, 1) except line 114
(2000, 1, 1, 0, 0, 20, 5, 1) except line 114
(2020, 10, 25, 8, 32, 13, 6, 299) except line 39, counter = 1
(2020, 10, 25, 8, 33, 13, 6, 299) except line 39, counter = 2
(2020, 10, 25, 8, 34, 13, 6, 299) except line 39, counter = 3
(2020, 10, 25, 8, 35, 13, 6, 299) except line 39, counter = 4
(2020, 10, 25, 8, 36, 13, 6, 299) except line 39, counter = 5
(2020, 10, 25, 8, 36, 32, 6, 299) except line 91, counter = 5
(2020, 10, 25, 8, 36, 51, 6, 299) except line 91, counter = 5
(2020, 10, 25, 8, 37, 9, 6, 299) except line 91, counter = 5
(2020, 10, 25, 8, 37, 28, 6, 299) except line 91, counter = 5
(2020, 10, 25, 8, 37, 28, 6, 299) except line 39, counter = 6
(2020, 10, 25, 8, 38, 28, 6, 299) except line 39, counter = 7
(2020, 10, 25, 8, 39, 28, 6, 299) except line 39, counter = 8
(2020, 10, 25, 8, 40, 28, 6, 299) except line 39, counter = 9
(2020, 10, 25, 8, 41, 28, 6, 299) except line 39, counter = 10
(2020, 10, 25, 8, 41, 47, 6, 299) except line 91, counter = 10
(2020, 10, 25, 8, 42, 6, 6, 299) except line 91, counter = 10
(2020, 10, 25, 8, 42, 24, 6, 299) except line 91, counter = 10
(2020, 10, 25, 8, 42, 43, 6, 299) except line 91, counter = 10
(2020, 10, 25, 8, 42, 43, 6, 299) except line 39, counter = 11
(2020, 10, 25, 8, 43, 43, 6, 299) except line 39, counter = 12
(2020, 10, 25, 8, 44, 43, 6, 299) except line 39, counter = 13
(2020, 10, 25, 8, 45, 43, 6, 299) except line 39, counter = 14
(2020, 10, 25, 8, 46, 44, 6, 299) except line 39, counter = 15
(2020, 10, 25, 8, 46, 46, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 46, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 47, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 50, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 51, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 52, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 53, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 54, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 55, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 56, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
(2020, 10, 25, 8, 46, 57, 6, 299) except line 91, counter = 15
