(2020, 10, 24, 10, 37, 53, 5, 298) except line 114
(2020, 10, 24, 11, 18, 4, 5, 298) except line 114
(2020, 10, 24, 11, 18, 49, 5, 298) except line 114
(2020, 10, 24, 15, 31, 21, 5, 298) except line 114
(2020, 10, 25, 11, 18, 22, 6, 299) except line 114
(2020, 10, 25, 11, 18, 22, 6, 299) except line 88, counter = 1
(2020, 10, 25, 11, 19, 15, 6, 299) except line 88, counter = 2
(2020, 10, 25, 11, 19, 15, 6, 299) except line 88, counter = 3
(2020, 10, 25, 11, 19, 15, 6, 299) except line 88, counter = 4
(2020, 10, 25, 11, 20, 16, 6, 299) except line 88, counter = 5
(2020, 10, 25, 11, 20, 16, 6, 299) except line 88, counter = 6
(2020, 10, 25, 11, 20, 17, 6, 299) except line 88, counter = 7
(2020, 10, 25, 11, 21, 17, 6, 299) except line 88, counter = 8
(2020, 10, 25, 11, 21, 17, 6, 299) except line 88, counter = 9
(2020, 10, 25, 11, 21, 17, 6, 299) except line 88, counter = 10
(2020, 10, 25, 11, 22, 18, 6, 299) except line 88, counter = 11
(2020, 10, 25, 11, 22, 18, 6, 299) except line 88, counter = 12
(2020, 10, 25, 11, 22, 18, 6, 299) except line 88, counter = 13
(2020, 10, 25, 11, 23, 19, 6, 299) except line 88, counter = 14
(2020, 10, 25, 11, 23, 19, 6, 299) except line 88, counter = 15
(2020, 10, 25, 11, 23, 19, 6, 299) except line 88, counter = 16
(2020, 10, 25, 11, 24, 20, 6, 299) except line 88, counter = 17
(2020, 10, 25, 11, 24, 20, 6, 299) except line 88, counter = 18
(2020, 10, 25, 11, 24, 20, 6, 299) except line 88, counter = 19
(2020, 10, 25, 11, 51, 59, 6, 299) except line 114
(2020, 10, 25, 11, 51, 59, 6, 299) except line 88, counter = 1
(2020, 10, 25, 11, 52, 53, 6, 299) except line 88, counter = 2
(2020, 10, 25, 11, 52, 53, 6, 299) except line 88, counter = 3
(2020, 10, 25, 11, 52, 53, 6, 299) except line 88, counter = 4
(2020, 10, 25, 11, 53, 54, 6, 299) except line 88, counter = 5
(2020, 10, 25, 11, 53, 54, 6, 299) except line 88, counter = 6
(2020, 10, 25, 11, 53, 54, 6, 299) except line 88, counter = 7
(2020, 10, 25, 11, 54, 55, 6, 299) except line 88, counter = 8
(2020, 10, 25, 11, 54, 55, 6, 299) except line 88, counter = 9
(2020, 10, 25, 11, 54, 55, 6, 299) except line 88, counter = 10
(2020, 10, 25, 11, 55, 56, 6, 299) except line 88, counter = 11
(2020, 10, 25, 11, 55, 56, 6, 299) except line 88, counter = 12
(2020, 10, 25, 11, 55, 56, 6, 299) except line 88, counter = 13
(2020, 10, 25, 11, 56, 56, 6, 299) except line 88, counter = 14
(2020, 10, 25, 11, 56, 56, 6, 299) except line 88, counter = 15
(2020, 10, 25, 11, 56, 57, 6, 299) except line 88, counter = 16
(2020, 10, 25, 11, 57, 57, 6, 299) except line 88, counter = 17
(2020, 10, 25, 11, 57, 57, 6, 299) except line 88, counter = 18
(2020, 10, 25, 11, 57, 57, 6, 299) except line 88, counter = 19
(2020, 10, 25, 11, 58, 58, 6, 299) except line 88, counter = 20
(2020, 10, 25, 11, 58, 58, 6, 299) except line 88, counter = 21
(2020, 10, 25, 11, 58, 58, 6, 299) except line 88, counter = 22
(2020, 10, 25, 11, 59, 58, 6, 299) except line 88, counter = 23
(2020, 10, 25, 11, 59, 59, 6, 299) except line 88, counter = 24
(2020, 10, 25, 11, 59, 59, 6, 299) except line 88, counter = 25
(2020, 10, 25, 12, 0, 59, 6, 299) except line 88, counter = 26
(2020, 10, 25, 12, 0, 59, 6, 299) except line 88, counter = 27
(2020, 10, 25, 12, 0, 59, 6, 299) except line 88, counter = 28
(2020, 10, 25, 12, 2, 0, 6, 299) except line 88, counter = 29
(2020, 10, 25, 12, 2, 0, 6, 299) except line 88, counter = 30
